310, 0.6054, 1.047, 29.68, 49.03, 44.79, 70.70, 0.6934
320, 0.5951, 1.049, 30.01, 50.43, 45.40, 72.73, 0.6934
330, 0.5853, 1.051, 30.35, 51.85, 46.01, 74.77, 0.6935
340, 0.5757, 1.054, 30.68, 53.29, 46.61, 76.83, 0.6936
350, 0.5665, 1.056, 31.01, 54.73, 47.21, 78.90, 0.6937
360, 0.5576, 1.059, 31.33, 56.19, 47.81, 80.99, 0.6938
370, 0.5489, 1.061, 31.65, 57.67, 48.40, 83.09, 0.6940
380, 0.5405, 1.064, 31.97, 59.16, 48.99, 85.21, 0.6943
390, 0.5323, 1.066, 32.29, 60.66, 49.57, 87.34, 0.6945
400, 0.5244, 1.069, 32.61, 62.18, 50.15, 89.49, 0.6948
410, 0.5167, 1.071, 32.92, 63.71, 50.72, 91.65, 0.6951
420, 0.5093, 1.073, 33.23, 65.25, 51.29, 93.83, 0.6954
430, 0.5020, 1.076, 33.54, 66.80, 51.86, 96.02, 0.6957
440, 0.4950, 1.078, 33.84, 68.37, 52.42, 98.22, 0.6961
450, 0.4882, 1.081, 34.15, 69.95, 52.98, 100.4, 0.6965
460, 0.4815, 1.083, 34.45, 71.54, 53.54, 102.7, 0.6969
470, 0.4750, 1.085, 34.75, 73.15, 54.09, 104.9, 0.6973
480, 0.4687, 1.088, 35.04, 74.77, 54.64, 107.2, 0.6977
490, 0.4626, 1.090, 35.34, 76.40, 55.18, 109.4, 0.6982
500, 0.4566, 1.093, 35.63, 78.04, 55.72, 111.7, 0.6986
550, 0.4289, 1.104, 37.07, 86.44, 58.37, 123.3, 0.7011
600, 0.4043, 1.115, 38.46, 95.12, 60.93, 135.2, 0.7037
650, 0.3824, 1.125, 39.81, 104.1, 63.41, 147.4, 0.7064
700, 0.3628, 1.135, 41.11, 113.3, 65.81, 159.8, 0.7092
750, 0.3450, 1.145, 42.39, 122.8, 68.12, 172.5, 0.7121
800, 0.3290, 1.153, 43.62, 132.6, 70.37, 185.5, 0.7149
850, 0.3143, 1.162, 44.83, 142.6, 72.54, 198.7, 0.7178
900, 0.3009, 1.169, 46.00, 152.9, 74.65, 212.2, 0.7206
950, 0.2886, 1.177, 47.15, 163.4, 76.70, 225.8, 0.7233
1000, 0.2773, 1.184, 48.26, 174.1, 78.68,  239.8, 0.7260
1100, 0.2571, 1.196, 50.42, 196.1, 82.48,  268.2, 0.7312
1200, 0.2396, 1.207, 52.48, 219.0, 86.09,  297.6, 0.7360
1400, 0.2110, 1.226, 56.35, 267.1, 92.81,  358.8, 0.7444
1600, 0.1885, 1.241, 59.92, 317.9, 99.08,  423.6, 0.7506
1800, 0.1703, 1.253, 63.22, 371.3, 105.10, 492.5, 0.7539
2000, 0.1553, 1.264, 66.30, 426.9, 111.10, 566.2, 0.7539